dhcp.bad_bitfield,Bogus bitfield
dhcp.bad_length,length isn't 0
dhcp.boot_filename_overloaded_by_dhcp,Boot file name option overloaded by DHCP
dhcp.bootp,Frame is BOOTP
dhcp.ccc.ietf.sec_tkt.all_pc_call_management,Invalidate All PacketCable Call Management Servers
dhcp.ccc.ietf.sec_tkt.pc_provision_server,Invalidate PacketCable Provisioning Server
dhcp.cl.ietf_ccc.dev_prov_unc_key_max_retries,pktcMtaDevProvUnsolicitedKeyMaxRetries
dhcp.cl.ietf_ccc.dev_prov_unc_key_max_timeout,pktcMtaDevProvUnsolicitedKeyMaxTimeout
dhcp.cl.ietf_ccc.dev_prov_unc_key_nom_timeout,pktcMtaDevProvUnsolicitedKeyNomTimeout
dhcp.cl.ietf_ccc.dev_realm_unc_key_max_retries,pktcMtaDevRealmUnsolicitedKeyMaxRetries
dhcp.cl.ietf_ccc.dev_realm_unc_key_max_timeout,pktcMtaDevRealmUnsolicitedKeyMaxTimeout
dhcp.cl.ietf_ccc.dev_realm_unc_key_nom_timeout,pktcMtaDevRealmUnsolicitedKeyNomTimeout
dhcp.client_address_not_given,Client address not given
dhcp.client_hardware_address,Client hardware address
dhcp.client_id,Identifier
dhcp.client_id.duid_ll_hw_type,Hardware type
dhcp.client_id.duid_llt_hw_type,Hardware type
dhcp.client_id.duid_type,DUID Type
dhcp.client_id.enterprise_num,Enterprise-number
dhcp.client_id.iaid,IAID
dhcp.client_id.link_layer_address,Link layer address
dhcp.client_id.link_layer_address_ether,Link layer address (Ethernet)
dhcp.client_id.time,Time
dhcp.client_id.type,Type
dhcp.client_id.undef,Client Identifier
dhcp.client_id.uuid,Client Identifier (UUID)
dhcp.client_network_id_major,Major Version
dhcp.client_network_id_minor,Minor Version
dhcp.cookie,Magic cookie
dhcp.docsis_cm_cap.mpls.bda,[IEEE 802.1ad] B-DA
dhcp.docsis_cm_cap.mpls.bdei,[IEEE 802.1ad] B-DEI
dhcp.docsis_cm_cap.mpls.bpcp,[IEEE 802.1ad] B-PCP
dhcp.docsis_cm_cap.mpls.bsa,[IEEE 802.1ad] B-SA
dhcp.docsis_cm_cap.mpls.btci,[IEEE 802.1ad] B-TCI
dhcp.docsis_cm_cap.mpls.btpid,[IEEE 802.1ad] B-TPID
dhcp.docsis_cm_cap.mpls.bvid,[IEEE 802.1ad] B-VID
dhcp.docsis_cm_cap.mpls.ccfi,[IEEE 802.1ad] C-CFI
dhcp.docsis_cm_cap.mpls.cpcp,[IEEE 802.1ad] C-PCP
dhcp.docsis_cm_cap.mpls.ctci,[IEEE 802.1ad] C-TCI
dhcp.docsis_cm_cap.mpls.ctpid,[IEEE 802.1ad] C-TPID
dhcp.docsis_cm_cap.mpls.cvid,[IEEE 802.1ad] C-VID
dhcp.docsis_cm_cap.mpls.idei,[IEEE 802.1ad] I-DEI
dhcp.docsis_cm_cap.mpls.ipcp,[IEEE 802.1ad] I-PCP
dhcp.docsis_cm_cap.mpls.isid,[IEEE 802.1ad] I-SID
dhcp.docsis_cm_cap.mpls.itci,[IEEE 802.1ad] I-TCI
dhcp.docsis_cm_cap.mpls.itpid,[IEEE 802.1ad] I-TPID
dhcp.docsis_cm_cap.mpls.iuca,[IEEE 802.1ad] I-UCA
dhcp.docsis_cm_cap.mpls.label,MPLS Label
dhcp.docsis_cm_cap.mpls.sdei,[IEEE 802.1ad] S-DEI
dhcp.docsis_cm_cap.mpls.spcp,[IEEE 802.1ad] S-PCP
dhcp.docsis_cm_cap.mpls.stci,[IEEE 802.1ad] S-TCI
dhcp.docsis_cm_cap.mpls.stpid,[IEEE 802.1ad] S-TPID
dhcp.docsis_cm_cap.mpls.svid,[IEEE 802.1ad] S-VID
dhcp.docsis_cm_cap.mpls.tc,MPLS TC
dhcp.docsis_cm_cap.ranging_hold_off.cm,CM
dhcp.docsis_cm_cap.ranging_hold_off.dsg,DSG/eSTB
dhcp.docsis_cm_cap.ranging_hold_off.emta,EMTA or EDVA
dhcp.docsis_cm_cap.ranging_hold_off.eps,ePS or eRouter
dhcp.docsis_cm_cap.ussymrate.1280,1280 ksps symbol rate
dhcp.docsis_cm_cap.ussymrate.160,160 ksps symbol rate
dhcp.docsis_cm_cap.ussymrate.2560,2560 ksps symbol rate
dhcp.docsis_cm_cap.ussymrate.320,320 ksps symbol rate
dhcp.docsis_cm_cap.ussymrate.5120,5120 ksps symbol rate
dhcp.docsis_cm_cap.ussymrate.640,640 ksps symbol rate
dhcp.docsis_cm_cap_type,CM DC Type
dhcp.end_option_missing,End option missing
dhcp.file,Boot file name
dhcp.flags,Bootp flags
dhcp.flags.bc,Broadcast flag
dhcp.flags.reserved,Reserved flags
dhcp.fqdn.e,Encoding
dhcp.fqdn.flags,Flags
dhcp.fqdn.mbz,Reserved flags
dhcp.fqdn.n,Server DDNS
dhcp.fqdn.name,Client name
dhcp.fqdn.o,Server overrides
dhcp.fqdn.rcode1,A-RR result
dhcp.fqdn.rcode2,PTR-RR result
dhcp.fqdn.s,Server
dhcp.hops,Hops
dhcp.hw.addr,Client hardware address
dhcp.hw.addr_padding,Client hardware address padding
dhcp.hw.len,Hardware address length
dhcp.hw.mac_addr,Client MAC address
dhcp.hw.type,Hardware type
dhcp.id,Transaction ID
dhcp.ip.client,Client IP address
dhcp.ip.relay,Relay agent IP address
dhcp.ip.server,Next server IP address
dhcp.ip.your,Your (client) IP address
dhcp.malformed.duid,DUID: malformed option
dhcp.missing_subopt_length,no room left in option for suboption length
dhcp.missing_subopt_value,no room left in option for suboption value
dhcp.option.6RD.border_relay_ip,Border Relay IP
dhcp.option.6RD.ipv4_mask_len,6RD IPv4 Mask Length
dhcp.option.6RD.malformed,6RD: malformed option
dhcp.option.6RD.prefix,6RD Prefix
dhcp.option.6RD.prefix_len,6RD Prefix Length
dhcp.option.agent_information_option.agent_circuit_id,Agent Circuit ID
dhcp.option.agent_information_option.agent_remote_id,Agent Remote ID
dhcp.option.agent_information_option.ani_ap_bssid,Access Point BSSID
dhcp.option.agent_information_option.ani_ap_name,Access Point Name
dhcp.option.agent_information_option.ani_att,Access Technology Type
dhcp.option.agent_information_option.ani_att.att,Access Technology Type
dhcp.option.agent_information_option.ani_att.res,Access Technology Type
dhcp.option.agent_information_option.ani_network_name,Access Network Name
dhcp.option.agent_information_option.ani_operator_id,Access Network Operator ID
dhcp.option.agent_information_option.ani_operator_realm,Access Network Operator Realm
dhcp.option.agent_information_option.authentication,Authentication
dhcp.option.agent_information_option.docsis_device_class,DOCSIS Device Class
dhcp.option.agent_information_option.flags,Flags
dhcp.option.agent_information_option.link_selection,Link selection
dhcp.option.agent_information_option.link_selection_cisco,Link selection (Cisco proprietary)
dhcp.option.agent_information_option.padding,Padding
dhcp.option.agent_information_option.radius_attributes,RADIUS Attributes
dhcp.option.agent_information_option.relay_agent_id,Relay Agent Identifier
dhcp.option.agent_information_option.reserved,Reserved
dhcp.option.agent_information_option.server_id_override,Server ID Override
dhcp.option.agent_information_option.server_id_override_cisco,Server ID Override (Cisco proprietary)
dhcp.option.agent_information_option.source_port,Source Port
dhcp.option.agent_information_option.suboption,Option 82 Suboption
