Hex,Segment,Field Names,Label,Predicted_Labels,Predict_Segment,ACC,F1,Precision,Recall,FPR,Perfection
320300000200000800000000f0000001000100f0,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.setup_reserved1_raw', 's7comm.param.maxamq_calling_raw', 's7comm.param.maxamq_called_raw', 's7comm.param.pdu_length_raw']",ROSCTR_3-FUNCTION_240,9,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.2857142857142857,0.3333333333333333
320700000b00000800060001120411430200ff0900023038,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw', 's7comm.blockinfo.blocktype_raw']",ROSCTR_7-Function_0-SYNTAX_ID_17-type_fg_67-sub_function_2-RETURN_CODE_255,42,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.4583333333333333,0.5185185185185185,0.7777777777777778,0.3888888888888889,0.3333333333333333,0.23529411764705882
320700000b00000c0008000112081283020100000000ff09000400012203,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24, 26, 28, 29]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.param.userdata.dataunitref_raw', 's7comm.param.userdata.lastdataunit_raw', 's7comm.param.errcod_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw', 's7comm.data.item_raw', 's7comm.blockinfo.flags_raw', 's7comm.blockinfo.block_lang_raw']",ROSCTR_7-Function_0-SYNTAX_ID_18-type_fg_131-sub_function_2-ERROR_CODE_b'\x00\x00'-RETURN_CODE_255,40,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 21, 22, 30]",0.4,0.4705882352941176,0.7272727272727273,0.34782608695652173,0.42857142857142855,0.18181818181818182
320700000c000008000c0001120411430300ff0900083041303030303142,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24, 29]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw', 's7comm.blockinfo.blocktype_raw', 's7comm.data.blockinfo.block_number_raw', 's7comm.data.blockinfo.filesys_raw']",ROSCTR_7-Function_0-SYNTAX_ID_17-type_fg_67-sub_function_3-RETURN_CODE_255,-1,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 30]"
320700000c00000c000400011208128303000000d2090a000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 23, 24]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.itemcount_raw', 's7comm.param.item.varspec_raw', 's7comm.param.item.varspec_length_raw', 's7comm.param.item.syntaxid_raw', 's7comm.param.userdata.type_raw', 's7comm.param.userdata.subfunc_raw', 's7comm.param.userdata.seq_num_raw', 's7comm.param.userdata.dataunitref_raw', 's7comm.param.userdata.lastdataunit_raw', 's7comm.param.errcod_raw', 's7comm.data_raw', 's7comm.data.transportsize_raw', 's7comm.data.length_raw']",ROSCTR_7-Function_0-SYNTAX_ID_18-type_fg_131-sub_function_3-ERROR_CODE_b'\xd2\t'-RETURN_CODE_10,-1,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 23, 26]"
320100000e00002000001a00010000000000095f30413030303031500d31303030353030303030343030,"[0, 1, 2, 4, 6, 8, 10, 11, 18, 19, 20, 22, 27, 28, 29, 30, 36]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.param.blockcontrol.filename_len_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_type_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw', 's7comm.data.blockcontrol.part2_len_raw', 's7comm.data.blockcontrol.part2_unknown_raw', 's7comm.data.blockcontrol.loadmem_len_raw', 's7comm.data.blockcontrol.mc7code_len_raw']",ROSCTR_1-FUNCTION_26,-1,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 42]"
320300000e000001000000001a,"[0, 1, 2, 4, 6, 8, 10, 11, 12]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw']",ROSCTR_3-FUNCTION_26,13,"[0, 1, 2, 4, 5, 6, 7, 11, 12]",0.6923076923076923,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.5
320100000100001200001b00000000000000095f3041303030303150,"[0, 1, 2, 4, 6, 8, 10, 11, 18, 19, 20, 22, 27]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.param.blockcontrol.filename_len_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_type_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw']",ROSCTR_1-FUNCTION_27,36,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 28]",0.6428571428571429,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.2,0.25
320300000100000200e200001b0100de00fb70700101050a0001000001f400000000029147602bb5029147602bb5001c000000000190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"[0, 1, 2, 4, 6, 8, 10, 11, 12, 13, 14, 16, 18]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.header.errcls_raw', 's7comm.header.errcod_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.data_raw', 's7comm.data.blockcontrol.unknown1_raw', 's7comm.resp.data_raw']",ROSCTR_3-FUNCTION_27,41,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 20, 239]",0.9666666666666667,0.6363636363636364,0.7777777777777778,0.5384615384615384,0.00881057268722467,0.3333333333333333
320100000300001200001b00000000000000095f3041303030303150,"[0, 1, 2, 4, 6, 8, 10, 11, 18, 19, 20, 22, 27]","['s7comm.header_raw', 's7comm.header.rosctr_raw', 's7comm.header.redid_raw', 's7comm.header.pduref_raw', 's7comm.header.parlg_raw', 's7comm.header.datlg_raw', 's7comm.param_raw', 's7comm.param.blockcontrol.functionstatus_raw', 's7comm.param.blockcontrol.filename_len_raw', 's7comm.param.blockcontrol.filename_raw', 's7comm.data.blockcontrol.block_type_raw', 's7comm.data.blockcontrol.block_number_raw', 's7comm.data.blockcontrol.dest_filesys_raw']",ROSCTR_1-FUNCTION_27,36,"[0, 1, 2, 4, 5, 6, 7, 11, 12, 28]",0.6428571428571429,0.5454545454545455,0.6666666666666666,0.46153846153846156,0.2,0.25
