Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1737339645.784	     0.992	0	6558	1	0	cat tmp_par.txt | python3 trimbytes.py 1 | timeout 20s python3 rep_parallel.py --push 1 --offset 0 --shortcircuit 1 -e LE 
1	:	1737339645.780	     1.065	0	6619	1	0	cat tmp_par.txt | python3 trimbytes.py 0 | timeout 20s python3 rep_parallel.py --push 0 --offset 0 --shortcircuit 1 -e LE 
12	:	1737339645.849	     1.026	0	5950	1	0	cat tmp_par.txt | python3 trimbytes.py 11 | timeout 20s python3 rep_parallel.py --push 11 --offset 0 --shortcircuit 1 -e LE 
7	:	1737339645.806	     1.101	0	6253	1	0	cat tmp_par.txt | python3 trimbytes.py 6 | timeout 20s python3 rep_parallel.py --push 6 --offset 0 --shortcircuit 1 -e LE 
3	:	1737339645.787	     1.151	0	6497	1	0	cat tmp_par.txt | python3 trimbytes.py 2 | timeout 20s python3 rep_parallel.py --push 2 --offset 0 --shortcircuit 1 -e LE 
4	:	1737339645.790	     1.177	0	6436	1	0	cat tmp_par.txt | python3 trimbytes.py 3 | timeout 20s python3 rep_parallel.py --push 3 --offset 0 --shortcircuit 1 -e LE 
14	:	1737339645.891	     1.103	0	5828	1	0	cat tmp_par.txt | python3 trimbytes.py 13 | timeout 20s python3 rep_parallel.py --push 13 --offset 0 --shortcircuit 1 -e LE 
16	:	1737339645.931	     1.074	0	5706	1	0	cat tmp_par.txt | python3 trimbytes.py 15 | timeout 20s python3 rep_parallel.py --push 15 --offset 0 --shortcircuit 1 -e LE 
10	:	1737339645.818	     1.226	0	6070	1	0	cat tmp_par.txt | python3 trimbytes.py 9 | timeout 20s python3 rep_parallel.py --push 9 --offset 0 --shortcircuit 1 -e LE 
8	:	1737339645.813	     1.246	0	6192	1	0	cat tmp_par.txt | python3 trimbytes.py 7 | timeout 20s python3 rep_parallel.py --push 7 --offset 0 --shortcircuit 1 -e LE 
27	:	1737339646.099	     0.977	0	5035	1	0	cat tmp_par.txt | python3 trimbytes.py 26 | timeout 20s python3 rep_parallel.py --push 26 --offset 0 --shortcircuit 1 -e LE 
11	:	1737339645.830	     1.281	0	6011	1	0	cat tmp_par.txt | python3 trimbytes.py 10 | timeout 20s python3 rep_parallel.py --push 10 --offset 0 --shortcircuit 1 -e LE 
5	:	1737339645.792	     1.346	0	6375	1	0	cat tmp_par.txt | python3 trimbytes.py 4 | timeout 20s python3 rep_parallel.py --push 4 --offset 0 --shortcircuit 1 -e LE 
17	:	1737339645.951	     1.200	0	5645	1	0	cat tmp_par.txt | python3 trimbytes.py 16 | timeout 20s python3 rep_parallel.py --push 16 --offset 0 --shortcircuit 1 -e LE 
21	:	1737339646.011	     1.153	0	5401	1	0	cat tmp_par.txt | python3 trimbytes.py 20 | timeout 20s python3 rep_parallel.py --push 20 --offset 0 --shortcircuit 1 -e LE 
9	:	1737339645.816	     1.382	0	6131	1	0	cat tmp_par.txt | python3 trimbytes.py 8 | timeout 20s python3 rep_parallel.py --push 8 --offset 0 --shortcircuit 1 -e LE 
28	:	1737339646.123	     1.100	0	4974	1	0	cat tmp_par.txt | python3 trimbytes.py 27 | timeout 20s python3 rep_parallel.py --push 27 --offset 0 --shortcircuit 1 -e LE 
15	:	1737339645.908	     1.338	0	5767	1	0	cat tmp_par.txt | python3 trimbytes.py 14 | timeout 20s python3 rep_parallel.py --push 14 --offset 0 --shortcircuit 1 -e LE 
